	数字1		数字2		数字3		平均值		出现概率	
	1		7		28		12.0		0.019799777530589546	
	1		7		29		12.333333333333334		0.020467185761957732	
	1		7		30		12.666666666666666		0.02135706340378198	
	1		7		31		13.0		0.022024471635150165	
	1		8		9		6.0		0.004226918798665183	
	1		8		10		6.333333333333333		0.0046718576195773085	
	1		8		11		6.666666666666667		0.005339265850945495	
	1		8		12		7.0		0.006006674082313682	
	1		8		13		7.333333333333333		0.006674082313681869	
	1		8		14		7.666666666666667		0.007341490545050055	
	1		8		15		8.0		0.008231368186874305	
	1		8		16		8.333333333333334		0.008898776418242492	
	1		8		17		8.666666666666666		0.00978865406006674	
	1		8		18		9.0		0.01067853170189099	
	1		8		19		9.333333333333334		0.011568409343715239	
	1		8		20		9.666666666666666		0.012458286985539488	
	1		8		21		10.0		0.0135706340378198	
	1		8		22		10.333333333333334		0.014460511679644048	
	1		8		23		10.666666666666666		0.01557285873192436	
	1		8		24		11.0		0.01668520578420467	
	1		8		25		11.333333333333334		0.017797552836484983	
	1		8		26		11.666666666666666		0.018687430478309234	
	1		8		27		12.0		0.019799777530589546	
	1		8		28		12.333333333333334		0.020467185761957732	
	1		8		29		12.666666666666666		0.02135706340378198	
	1		8		30		13.0		0.022024471635150165	
	1		8		31		13.333333333333334		0.022691879866518355	
	1		9		10		6.666666666666667		0.005339265850945495	
	1		9		11		7.0		0.006006674082313682	
	1		9		12		7.333333333333333		0.006674082313681869	
	1		9		13		7.666666666666667		0.007341490545050055	
	1		9		14		8.0		0.008231368186874305	
	1		9		15		8.333333333333334		0.008898776418242492	
	1		9		16		8.666666666666666		0.00978865406006674	
	1		9		17		9.0		0.01067853170189099	
	1		9		18		9.333333333333334		0.011568409343715239	
	1		9		19		9.666666666666666		0.012458286985539488	
	1		9		20		10.0		0.0135706340378198	
	1		9		21		10.333333333333334		0.014460511679644048	
	1		9		22		10.666666666666666		0.01557285873192436	
	1		9		23		11.0		0.01668520578420467	
	1		9		24		11.333333333333334		0.017797552836484983	
	1		9		25		11.666666666666666		0.018687430478309234	
	1		9		26		12.0		0.019799777530589546	
	1		9		27		12.333333333333334		0.020467185761957732	
	1		9		28		12.666666666666666		0.02135706340378198	
	1		9		29		13.0		0.022024471635150165	
	1		9		30		13.333333333333334		0.022691879866518355	
	1		9		31		13.666666666666666		0.023136818687430477	
	1		10		11		7.333333333333333		0.006674082313681869	
	1		10		12		7.666666666666667		0.007341490545050055	
	1		10		13		8.0		0.008231368186874305	
	1		10		14		8.333333333333334		0.008898776418242492	
	1		10		15		8.666666666666666		0.00978865406006674	
	1		10		16		9.0		0.01067853170189099	
	1		10		17		9.333333333333334		0.011568409343715239	
	1		10		18		9.666666666666666		0.012458286985539488	
